2026-05-16 16:44:05.775 | INFO     | __main__:generate_web_only:117 - Generating web report (no email)...
2026-05-16 16:44:05.776 | INFO     | app.data_fetcher:fetch_all:21 - Fetching market data...
2026-05-16 16:44:07.784 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 1 failed for GC=F: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:10.434 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 2 failed for GC=F: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:13.106 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 3 failed for GC=F: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:15.106 | ERROR    | app.data_fetcher:_fetch_ticker:65 - Failed to fetch GC=F after 3 attempts
2026-05-16 16:44:15.770 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 1 failed for GC=F: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:18.444 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 2 failed for GC=F: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:21.107 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 3 failed for GC=F: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:23.107 | ERROR    | app.data_fetcher:_fetch_ticker:65 - Failed to fetch GC=F after 3 attempts
2026-05-16 16:44:23.781 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 1 failed for DX-Y.NYB: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:26.431 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 2 failed for DX-Y.NYB: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:29.105 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 3 failed for DX-Y.NYB: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:31.106 | ERROR    | app.data_fetcher:_fetch_ticker:65 - Failed to fetch DX-Y.NYB after 3 attempts
2026-05-16 16:44:31.755 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 1 failed for ^TNX: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:34.428 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 2 failed for ^TNX: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:37.078 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 3 failed for ^TNX: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:39.079 | ERROR    | app.data_fetcher:_fetch_ticker:65 - Failed to fetch ^TNX after 3 attempts
2026-05-16 16:44:39.752 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 1 failed for ^IRX: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:44:42.403 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 2 failed for ^IRX: Too Many Requests. Rate limited. Try after a while.
